279	211
288	234
296	222
310	241
320	204
297	201
322	220
307	260
255	248
288	272
285	259
410	121
417	140
452	146
434	165
414	193
414	158
450	179
431	191
457	152
426	140
437	155
450	165
444	182
412	317
403	376
439	377
422	337
388	350
417	362
442	353
440	335
426	320
464	351
451	376
795	186
803	239
787	201
810	212
822	188
836	227
819	246
833	198
841	256
850	217
851	199
844	207
853	240
837	176
790	183
808	155
819	179
415	407
395	379
376	374
416	336
572	184
559	150
621	140
593	168
575	163
605	135
585	135
596	150
615	160
602	185
626	191
651	187
643	175
631	163
663	156
607	333
632	328
624	317
669	327
655	311
669	355
637	374
630	355
651	353
669	386
694	364
689	341
702	321
679	326
659	348
684	373
682	306
698	296
702	309
711	353
443	129
