279	211	1
288	234	1
296	222	1
310	241	1
320	204	1
297	201	1
322	220	1
307	260	1
255	248	1
288	272	1
285	259	1
410	121	5
417	140	5
452	146	5
434	165	5
414	193	5
414	158	5
450	179	5
431	191	5
457	152	5
426	140	5
437	155	5
450	165	5
444	182	5
412	317	2
403	376	2
439	377	2
422	337	2
388	350	2
417	362	2
442	353	2
440	335	2
426	320	2
464	351	2
451	376	2
795	186	4
803	239	4
787	201	4
810	212	4
822	188	4
836	227	4
819	246	4
833	198	4
841	256	4
850	217	4
851	199	4
844	207	4
853	240	4
837	176	4
790	183	4
808	155	4
819	179	4
415	407	2
395	379	2
376	374	2
416	336	2
572	184	3
559	150	3
621	140	3
593	168	3
575	163	3
605	135	3
585	135	3
596	150	3
615	160	3
602	185	3
626	191	3
651	187	3
643	175	3
631	163	3
663	156	3
607	333	6
632	328	6
624	317	6
669	327	6
655	311	6
669	355	6
637	374	6
630	355	6
651	353	6
669	386	6
694	364	6
689	341	6
702	321	6
679	326	6
659	348	6
684	373	6
682	306	6
698	296	6
702	309	6
711	353	6
443	129	5
