279	211	1
288	234	1
296	222	1
310	241	1
320	204	1
297	201	1
322	220	1
307	260	1
255	248	1
288	272	1
285	259	1
410	121	3
417	140	3
452	146	3
434	165	3
414	193	3
414	158	3
450	179	3
431	191	3
457	152	3
426	140	3
437	155	3
450	165	3
444	182	3
412	317	5
403	376	5
439	377	5
422	337	5
388	350	5
417	362	5
442	353	5
440	335	5
426	320	5
464	351	5
451	376	5
415	407	5
395	379	5
376	374	5
416	336	5
572	184	4
559	150	4
621	140	4
593	168	4
575	163	4
605	135	4
585	135	4
596	150	4
615	160	4
602	185	4
626	191	4
651	187	4
643	175	4
631	163	4
663	156	4
607	333	2
632	328	2
624	317	2
669	327	2
655	311	2
669	355	2
637	374	2
630	355	2
651	353	2
669	386	2
694	364	2
689	341	2
702	321	2
679	326	2
659	348	2
684	373	2
682	306	2
698	296	2
702	309	2
711	353	2
443	129	3
