380	223	1
394	202	1
419	198	1
447	215	1
426	226	1
669	214	3
576	302	2
575	285	2
548	310	2
570	317	2
593	301	2
584	267	2
558	273	2
546	282	2
589	312	2
588	291	2
603	290	2
678	196	3
712	190	3
734	248	3
703	247	3
677	252	3
685	224	3
718	216	3
706	229	3
405	219	1
446	233	1
663	226	3
512	204	1
469	186	1
493	156	1
497	201	1
566	276	2
594	281	2
559	291	2
465	238	1
473	222	1
653	234	3
637	212	3
492	236	1
482	199	1
468	166	1
446	171	1
445	186	1
464	205	1
431	254	1
690	179	3
698	205	3
649	180	3
658	195	3
656	210	3
506	217	1
510	184	1
490	179	1
675	243	3
693	261	3
713	263	3
727	235	3
693	240	3
